Property Character Location Other,PropertyType,Project Requested,First appearance:,,Appears On Cover? (Y/N),Talent:,,,,Talent/Agreement  Notes,Rights/Additional Notes,GUID
,Property,,,,,Scott Williams,variant cover inks,WFH,,,,C5344C7E-25C5-EB45-B9CB-7C34755588F8
,Property,,,,,Alex Sinclair,variant cover color,Exclusive,,,,C627D677-E9A9-934F-9F2D-4159E6144BC5
Before Watchmen: Dollar Bill,Property,,Before Watchmen: Dollar Bill,Mar-13,Y,Len Wein,writer,WFH,,Deceased,,26F4BBBD-1E1B-D948-96E1-3EEBF3D39E84
,Property,,,,,Steve Rude,"pencils, inks, cover",WFH,,,,5092859D-95AE-A949-ABEB-3AF11BBF865B
,Property,,,,,Darwyn Cooke,variant cover,WFH,,,,19ADA087-C7EA-1745-B7DB-E84C18044A94
,Property,,,,,Jim Lee,variant cover pencils,Firewall,,,,70EE3469-EE68-A740-832D-9FADAFE30F88
,Property,,,,,Scott Williams,variant cover inks,WFH,,,,1E9F161A-F1DE-A345-A3CF-44BECC1713BE
,Property,,,,,Glenn Whitmore,color,N/A,,,,F339D6B3-1175-2A42-B3A0-233CAE8F714C
,Property,,,,,Alex Sinclair,variant cover color,Exclusive,,,,8CE1B385-DB2A-9342-9EB4-E4E9A6ED956A
Before Watchmen: Dr. Manhattan,Property,,"Before Watchmen: Dr. Manhattan #1
""What's in the Box?""",Oct-12,Y,J. Michael Straczynski,writer,WFH,,,,FCB57B4D-3C09-F445-88B7-8593AB166D53
,Property,,,,,Adam Hughes,"pencils, inks, cover",WFH,,,,16AAA8D4-7651-9145-897A-8FC9FFE9EE61
,Property,,,,,Paul Pope,variant cover,WFH,,,,1B9B5ACB-44B3-3E4A-929E-E5BE87D7B82A
,Property,,,,,Jim Lee,variant cover pencils,Firewall,,,,A0201F7D-BC6E-A14F-AE6E-55CF36647722
,Property,,,,,Scott Williams,variant cover inks,WFH,,,,8A6D9FB9-0C69-D64A-A2AD-4E8714CFB1BA
,Property,,,,,Laura Martin,color,N/A,,,,9CD5E652-4646-EC4A-8151-0C010E9C595E
,Property,,,,,Lovern Kindzierski,variant cover color,N/A,,,,52AB961B-8B83-2541-9FD2-FA9D028B9B1D
,Property,,,,,Alex Sinclair,variant cover color,Exclusive,,,,E919832C-A04D-7C4E-AF50-9FC46CA52642
Before Watchmen: Minutemen,Property,,"Before Watchmen: Minutemen #1
""The Minutemen: The Minute of Truth Chapter One: Eight Minutes""",Aug-12,Y,Darwyn Cooke,"writer, pencils, inks, cover",WFH,,,,28D7F157-5BB9-D348-99C9-CF2D57D6BDE3
,Property,,,,,Michael Golden,variant cover,WFH,,,,829E85DC-A650-5F4B-8A4C-9BCEECF41FCA
,Property,,,,,Jim Lee,variant cover pencils,Firewall,,,,320F8F29-0660-EC4F-AAEF-09274293FDE5
,Property,,,,,Scott Williams,variant cover inks,WFH,,,,8E64619A-E0F1-6346-B014-E40E27D77F89
,Property,,,,,Phil Noto,color,N/A,,,,48CE11B7-2C86-6245-A862-B0683F22E4AD
,Property,,,,,Alex Sinclair,variant cover color,Exclusive,,,,4708B327-C20A-3447-BBD3-F9117F142E0B
Before Watchmen: Moloch,Property,,"Before Watchmen: Moloch #1
""Forgive Me Father, For I Have Sinned""",Jan-13,Y,J. Michael Straczynski,writer,WFH,,,,AF26C0C7-FA64-B547-9D4D-ABFA2A0937FD
,Property,,,,,Eduardo Risso,"pencils, inks, cover",WFH,,,,FBF10E96-1DA6-5D46-9D32-8259F6CB884D
,Property,,,,,Matt Wagner,variant cover,WFH,,,,97334BAB-3936-DA4E-AB45-F4C346DFFD77
,Property,,,,,Jim Lee,variant cover pencils,Firewall,,,,8C07F1EE-061A-224D-A588-2C21C204D892
,Property,,,,,Scott Williams,variant cover inks,WFH,,,,92C5417B-9ED3-0A4F-94E0-C86306D00F3D
,Property,,,,,Patricia Mulvihill,color,N/A,,,,58C90BE4-8C5B-AB4F-A88A-D34BE2EB1CFC
,Property,,,,,Brennan Wagner,variant cover color,N/A,,,,988A5C00-A9AA-0F44-9E66-2372641DFE01
,Property,,,,,Alex Sinclair,variant cover color,N/A,,,,BB8D07CE-9416-5948-A176-92E800636260
Before Watchmen: Nite Owl,Property,,"Before Watchmen: Nite Owl #1
""No Such Thing as a Free Lunch""",Aug-12,Y,J. Michael Straczynski,writer,WFH,,,,56B7F974-FA5E-8544-9557-E650AA0BE2A3
,Property,,,,,Andy Kubert,"pencils, cover pencils",WFH,,,,0A95DCCB-7CC9-EB47-A2C0-EAB9FD1FCD97
,Property,,,,,Joe Kubert,"inks, cover inks",WFH,,Deceased,,64DF7BD8-45E0-A945-A4C0-EF1B19EE0A45
,Property,,,,,Kevin Nowlan,variant cover,WFH,,,,92A97C04-7A24-704B-B4CB-350FBAB1FFA9
,Property,,,,,Jim Lee,variant cover pencils,Firewall,,,,459940B4-320C-8B48-BB9E-D7B202B319E5
,Property,,,,,Scott Williams,variant cover inks,WFH,,,,BC09A478-49C9-444F-B94A-73B6EE58516B
,Property,,,,,Brad Anderson,color,N/A,,,,38605E40-66ED-8D4F-8B6F-3F5F1CFACC35
,Property,,,,,Alex Sinclair,variant cover color,Exclusive,,,,2CF75224-FE1A-854E-B939-FCD0D06B38E8
Before Watchmen: Ozymandias,Property,,"Before Watchmen: Ozymandias #1
""I Met a Traveler…!""",Sep-12,Y,Len Wein,writer,WFH,,Deceased,,CE1E244B-DCD1-B241-A9C0-9C9BDBA58C82
,Property,,,,,Jae Lee,"pencils, inks, cover",WFH,,,,CDDF43F5-08C1-A14F-B136-9E05FD056EC5
,Property,,,,,Phil Jimenez,variant cover,WFH,,,,1A4F1ABB-67D3-BB45-A55C-90C984188749
,Property,,,,,Jim Lee,variant cover pencils,Firewall,,,,00509AC6-6141-704B-BC75-736458949164
,Property,,,,,Scott Williams,variant cover inks,WFH,,,,540A8634-04D8-4941-BB40-807377CD9197
,Property,,,,,Joo Y. Lee,color,Exclusive,,,,70C9C51E-86D2-6F43-B93B-038C470E2F61
,Property,,,,,Alex Sinclair,variant cover color,Exclusive,,,,9D15C933-E62E-504E-946F-458BDE2701C2
,Property,,,,,"Romulo Fajardo, Jr.",variant cover color,N/A,,,,3891F326-49AA-5C47-8357-59EBB629F67B
Before Watchmen: Rorschach,Property,,"Before Watchmen: Rorschach #1
""damn town""",Oct-12,Y,Brian Azzarello,writer,WFH,,,,6B2AF66A-E876-AA4A-B209-55DF22A9D9E2
,Property,,,,,Lee Bermejo,"pencils, inks, cover",WFH,,,,B60E9977-9383-DF4A-BEB0-15015D521A2D
,Property,,,,,Jim Steranko,variant cover,WFH,,,,27850794-35E2-BA45-823F-BCFDBF53EDAF
,Property,,,,,Jim Lee,variant cover pencils,Firewall,,,,705625AE-45E1-F644-B974-78238720A609
,Property,,,,,Scott Williams,variant cover inks,WFH,,,,DB04B68A-A14F-3B43-BB3B-A623D67A35F0
,Property,,,,,Barbara Ciardo,color,N/A,,,,565E71C7-C283-DA44-A07D-0C91A0280C95
,Property,,,,,Alex Sinclair,variant cover color,Exclusive,,,,82F6710A-8794-DF46-BD73-ADD7B9C24AE9
Before Watchmen: Silk Spectre,Property,,"Before Watchmen: Silk Spectre #1
""Mean Goodbye""",Aug-12,Y,Amanda Conner,"writer, pencils, inks, cover",WFH,,,,652D83FA-D6BF-5B49-B5AF-5AC21847BAFB
,Property,,,,,Darwyn Cooke,writer,WFH,,,,F31E7965-B101-4B41-9689-C48E6EF84477
,Property,,,,,Dave Johnson,variant cover,None,,,,8312DB66-FE00-9648-BB3F-7B66A64D12C0
,Property,,,,,Jim Lee,variant cover pencils,Firewall,,,,0EA93381-7324-1743-BD9C-BC1E32D87AE5
,Property,,,,,Scott Williams,variant cover inks,WFH,,,,982D0405-65A3-C043-995E-C58AB88D297A
,Property,,,,,Paul Mounts,color,N/A,,,,05B0AE83-F75C-EA46-8782-6F641C9CF609
,Property,,,,,Alex Sinclair,variant cover color,Exclusive,,,,562D64F6-2374-0B4B-9552-B0FF1641E2B2
Bernardo Rojas,Character,Supergirl 506,Superman Annual #12,Aug-00,N,Oscar Pinto,writer,WFH,,,,B58940BF-B791-3946-97AF-1E30E773CE04
,Character,,,,,Francisco Haghenbeck,writer,WFH,,,,929FBC90-1FF8-B641-A090-F41C4BACF9FB
,Character,,,,,Brian K. Vaughan,writer,WFH,,,,8334B09C-F723-3741-92F3-0767275839EB
,Character,,,,,Carlo Barberi,pencils,WFH,,,,516D7980-1CE9-F044-A81F-FF58C0586597
,Character,,,,,Marlo Alquiza,inks,WFH,,,,9476EE64-FECE-A741-8588-1F989AC9DE38
,Character,,,,,Juan Vlasco,inks,WFH,,,,DCFF1657-A21C-034B-A09C-7DB96A6FB38C
The Bertinelli Family,Property,"Birds of Prey 
(2020)",Huntress #1,Apr-89,N,Joey Cavalieri,writer,WFH,,,,FC21E158-51D0-894A-9FD2-20BDB44B2EA3
,Property,,,,,Joe Staton,"pencils, cover pencils",WFH,,,,72CC402F-B204-1149-9FC8-0BE344363558
,Property,,,,,Bruce Patterson,"inks, cover inks",Exclusive,,,,2346677E-7F62-104A-A235-EB61E5515E37
,Property,,,,,Dick Giordano,inks,N/A,,"Giordano may have been an employee of DC at this time.
Deceased",,0ABD1323-FAB3-4840-B9BD-948DA29DFAE3
,Property,,,,,Nansi Hoolihan,color,N/A,,,,D9FE3FC4-B177-5A4C-AE71-69481D7A8DBE
Bethany Snow,Character,,New Teen Titans #22,Aug-82,N,Marv Wolfman,writer,Exclusive,1983,,,8692E3D8-014F-0B46-84E4-8285E78A5FEE
,Character,,,,,George Perez,"pencils, cover pencils",Exclusive,1983,,,102FA206-A18B-3647-AE1E-F81D522D3043
,Character,,,,,Romeo Tanghal,"inks, cover inks",Exclusive,,,,BCB2982B-C95A-474B-8573-4653C5F02455
,Character,,,,,Adrienne Roy,color,Exclusive,,Deceased,,06FDFE0F-D52F-D743-8031-B2BEBD29A1DE
Bibbo Bibbowski,Character,,Adventures of Superman #428,May-87,N,Marv Wolfman,writer,"Continuity, WFH",1993,,,B851B5F7-3A00-FE45-9986-3ED7B107E8C4
,Character,,,,,Jerry Ordway,"pencils, inks, cover",WFH,1993,,,3668AB5D-8C18-3945-8638-EA75159C9711
,Character,,,,,Tom Ziuko,color,N/A,,,,E3EDA0D6-6647-5240-8524-DF49CEECFFA5
"Big Bang
(Crisis on Infinite Earths Version)",Property,Legends 501,"in DC Comics:
Crisis on Infinite Earths #1",Apr-85,Y,Marv Wolfman,writer,Writer-Editor,,,,06264FED-ED9B-4547-9246-1ED2B1351A90
,Property,,,,,Len Wein,plot,None,,Deceased,,B6D3A325-D403-B242-84C9-AB13DAF036C3
,Property,,,,,Robert Greenberger,plot,None,,,,581CC798-0070-3F4D-92FA-AAAC3CB6C676
,Property,,,,,George Perez,"pencils, cover",Exclusive,,,,2948D087-AD03-F44E-801F-5909FFE4AD6F
,Property,,,,,Dick Giordano,inks,N/A,,"Giordano was an employee of DC at this time.
Deceased",,E9A48A31-76AD-E94C-99DA-E6C9CDC5BDC4
,Property,,,,,Anthony Tollin,color,N/A,,,,CC841FA7-BF52-6A4A-B19F-8BE96049D839
Big Barda,Character,DC Super Hero Girls,"Mister Miracle #4
""The Closing Jaws of Death!""

",Oct-71,N,Jack Kirby,"writer, pencils, cover pencils",Fourth World Agreement,1982,Deceased,,DA0D068E-47D4-CB4A-8271-CCFD38B7790C
,Character,,,,,Vince Colletta,"inks, cover inks",None,,Deceased,,AB3EB944-F49E-0846-942C-709F710932C5
Big Belly Burger,Location,Supergirl 501,Adventures of Superman #441,Jun-88,N,John Byrne,writer,WFH,,,,CBE3BD61-53B3-444A-8637-2A65C562F971
,Location,,,,,Jerry Ordway,penicls,WFH,,,,972B09EA-0187-A946-A67A-998D3F925801
,Location,,,,,Dennis Janke,inks,WFH,,,,E644EBCC-CDF2-2443-80E7-8D84A5C9FE22
"Big Sir
(Dufus P. Ratchet)",Character,Flash 411,The Flash #338,Oct-84,Y,Cary Bates,writer,Writer-Editor,,,,3E857C22-84F2-AF49-9FFE-B340E41E7421
,Character,,,,,Carmine Infantino,"pencils, cover pencils",WFH,,Deceased,,C1B0F0B2-1EA2-D445-8CBD-6F2565FB2900
,Character,,,,,Frank McLaughlin,inks,Artist,,Deceased,,4A451BD4-16C0-3A45-931A-66EBEA8820AF
,Character,,,,,Klaus Janson,cover inks,WFH,,,,34AFE0BA-34C1-7145-B72A-A0B057430CE1
,Character,,,,,Carl Gafford,color,N/A,,,,6F55A2A5-279F-DC40-B2F4-87D458720339
"Biomax
(Jack Spheer)",Character,Supergirl 218,Power Company #6,Sep-02,N,Kurt Busiek,writer,Writer,,,,EC9685EA-C660-AA46-AA68-907EF5D4B703
,Character,,,,,Tom Grummett,"pencils, cover pencils",Artist; WFH,,,,10A8CB14-5224-A047-96A0-05DF2B8E7A34
,Character,,,,,Yanick Paquette,pencils,WFH,,,,FB46E7B9-B35D-B949-BAD2-F9FEA15C43AA
,Character,,,,,Prentis Rollins,inks,WFH,,,,B06B4329-C77C-804A-BCF3-B937C3EC7A5B
,Character,,,,,"Michael Bair
(Michael Hernandez)",cover inks,WFH,,,,D8FB90C4-50AC-5C4F-A513-7DD0FD80A7BE
,Character,,,,,Alex Sinclair,color,N/A,,,,654149F8-2DBF-E04F-83CA-32937F486765
Biomax Process,Property,Supergirl 218,Power Company #6,Sep-02,N,Kurt Busiek,writer,Writer,,,,6534B9B9-69D1-764C-A3A2-D0FC3EC57383
,Property,,,,,Tom Grummett,"pencils, cover pencils",Artist; WFH,,,,D8AB88EB-B8EE-4840-AB19-86DBB8B9A788
,Property,,,,,Yanick Paquette,pencils,WFH,,,,2A15999E-CE78-D848-96D5-34EA66617D97
,Property,,,,,Prentis Rollins,inks,WFH,,,,E9B48F98-308E-ED43-945D-AA887FC3ED8F
,Property,,,,,"Michael Bair
(Michael Hernandez)",cover inks,WFH,,,,2A7CDC1C-4E6D-AB41-81BB-3AEA49FBA7E9
,Property,,,,,Alex Sinclair,color,N/A,,,,9137082F-8973-D14A-BF25-074CA2BD5ED0
Biospheer Technologies,Location,Supergirl 218,Power Company #6,Sep-02,N,Kurt Busiek,writer,Writer,,,,8C5D9BFA-C885-744A-9361-3AEEBC094871
,Location,,,,,Tom Grummett,"pencils, cover pencils",Artist; WFH,,,,80319FFE-35DF-AA41-BC1A-3A3FC9EB4BC2
,Location,,,,,Yanick Paquette,pencils,WFH,,,,EBDA3805-91DB-A043-9ED3-80148E65E41A
,Location,,,,,Prentis Rollins,inks,WFH,,,,171DE511-30D3-9A48-A7E8-FDE96E81B856
,Location,,,,,"Michael Bair
(Michael Hernandez)",cover inks,WFH,,,,1A46945D-9C65-2B45-9E93-C65E36BA83AF
,Location,,,,,Alex Sinclair,color,N/A,,,,186D6041-27DF-DF49-8F3B-AB7DF5A6E75E
"Bizarro
(Superboy Clone)",Character,,Superboy #68,Oct-58,Y,Otto Binder,writer,None,,Deceased,,59EE79C9-3E4C-DE46-A8EA-3775B5FB2FD5
,Character,,,,,George Papp,"pencils, inks",None,,Deceased,,3A3619D2-23EA-B345-84F5-FB3049F97852
,Character,,,,,Curt Swan,cover pencils,None,,Deceased,,C355E88C-AFC4-714B-8185-6409487D0003
,Character,,,,,Stan Kaye,cover inks,None,,Deceased,,9E0C1116-576B-B547-BD70-F0E699EE7F58
"Bizarro
(Superman Clone)",Character,,Action Comics #254,Jul-59,Y,Otto Binder,writer,None,,Deceased,,8AF83CB3-31C5-B248-9678-B61F6DD7B53E
,Character,,,,,Al Plastino,"pencils, inks",None,,Deceased,,ED60D6AE-536E-F24A-911B-B3DFC845E43D
,Character,,,,,Curt Swan,cover pencils,None,,Deceased,,4378F63B-4590-C84C-A78F-320C28AA90C9
,Character,,,,,Stan Kaye,cover inks,None,,Deceased,,648A1A2E-646B-1648-BF06-B52853637C91
"Bizarro
(Project: Changeling)",Character,,Man of Steel #5,Dec-86,Y,John Byrne,"writer, pencils, cover",WFH,,,,F779683B-3B3A-924C-B6D7-EE27927CA403
,Character,,,,,Dick Giordano,inks,N/A,,"Giordano was an employee of DC at this time.
Deceased",,700F3844-0FAB-134B-9748-011A125064DC
,Character,,,,,Thomas Ziuko,color,N/A,,,,408F2CED-00E0-8842-9425-CF6816F496AA
"Bizarro
(Bizarro No. 1)",Character,,Superman #160,Sep-00,Y,Jeph Loeb,writer,Continuity,,,,D1E71E84-BA35-D747-B7CB-9839D384F0A1
,Character,,,,,Ed McGuinness,"pencils, cover pencils",Continuity,,,,19C693DF-1ABF-3F49-9DF2-96203C248604
,Character,,,,,Cam Smith,"inks, cover inks",WFH,,,,625FAE65-2AE8-5E4E-A32D-C4449BC4C514
,Character,,,,,Richard & Tanya Horie,color,N/A,,,,1D10D6A7-EEFA-674D-9C54-66F8F1AAA643
"Bizarro
(Last Son)",Character,,Action Comics #845,Jan-07,Y,Geoff Johns,writer,WFH,,,,FA658C5F-C688-6449-8E6C-F7D02EDE3657
,Character,,,,,Richard Donner,writer,Continuity,,,,6C9B5954-A772-3D49-93AC-60AB0A820963
,Character,,,,,Adam Kubert,"pencils, inks, cover",WFH,,,,B4A03037-2C71-B34E-93BD-172AE696F56E
,Character,,,,,Dave Stewart,color,N/A,,,,78C28FBB-94C2-114B-8F30-1A661E412C84
"Bizarro
(New 52: Subject B-0)",Character,,Superman #23.1,Nov-13,Y,Sholly Fisch,writer,WFH,,,,D63FF0B2-F6F2-2D47-AD9B-926661819E05
,Character,,,,,Jeff Johnson,pencils,WFH,,,,C895F64C-4B71-1644-BAE1-B9D21511420D
,Character,,,,,Andy Smith,inks,WFH,,,,A9CA30E5-37BD-3F45-A640-232D7BD07DAB
,Character,,,,,Javier Mena Guerrero,color,N/A,,,,A8CD61AA-058A-0F46-97AF-75E333828C46
,Character,,,,,Jordie Bellaire,color,N/A,,,,440588A5-9D73-614F-A562-B39B70CE7578
,Character,,,,,Aaron Kuder,cover,WFH,,,,A10A19D3-C40A-7440-9574-4E37CA371873
Bizarro-Doomsday,Character,,Action Comics #856,Nov-07,Y,Geoff Johns,writer,WFH,,,,EF191E73-347C-4F4C-B516-9C7709F10A70
,Character,,,,,Richard Donner,writer,Continuity,,,,972FCFFC-79F9-F54B-A756-E02AB23D9DA6
,Character,,,,,Eric Powell,"pencils, inks, cover",WFH,,,,C5069EB0-EDA9-7748-B392-2A7D7743089E
Bizarro Supergirl,Character,Supergirl 112,Superman #140,Oct-60,N,Otto Binder,writer,None,,Deceased,,6F3D8235-56CD-374C-AB4B-9110218E682A
,Character,,,,,Wayne Boring,pencils,None,,Deceased,,A548008A-0FCD-7A4F-B80C-F4967E257F62
,Character,,,,,Stan Kaye,"inks, cover inks",None,,Deceased,,CDC8E958-7CC3-934C-BCBC-8207AB11460C
,Character,,,,,Curt Swan,cover pencils,None,,Deceased,,184F7A39-6EAB-7B4E-A36A-DD83AE1A0B6D
"Black Adam
(Teth-Adam)",Character,Shazam,"in Fawcett Comics:
The Marvel Family #1
""The Mighty Marvels Join Forces""",Dec-45,N,Otto Binder,writer,None,,See also: Fawcett Purchase Agreements,,3140CE86-D81E-2C4E-A2DE-7FFF049C2EC3
,Character,,,,,"Charles Clarence ""C.C."" Beck","pencils, inks, cover pencils",None,,,,16FD3E2B-C3D2-5048-9EB3-CA4E15394C2B
,Character,,,,,Pete Costanza,cover inks,None,,,,A3D2FD07-36B5-944F-9353-2F9C8D6860F9
,Character,,"in DC Comics:
Shazam #28",Mar-77,Y,E. Nelson Bridwell,writer,N/A,,"Bridwell was an employee of DC at this time.
Deceased",,6FFFCE50-1C7E-3149-916C-DE8F30465F30
,Character,,,,,Kurt Schaffenberger,"pencils, inks, cover",N/A,,"Schaffenberger was an employee of DC at this time.
Deceased",,CF91F50B-3B8D-3344-B0C3-B6977ECC60F4
Black Arrow,Character,The Ray (WBA),"Adventure Comics #143
""The Arrow Raiders Strike""",Aug-49,N,Otto Binder,writer,None,,Deceased,,59E84005-D4D3-FA41-92B5-5D147AAE52E7
,Character,,,,,George Papp,"pencils, inks",None,,Deceased,,0EF4804B-8BB1-484C-938B-C6935A950503
,Character,,,,,John Sikela,cover pencils,None,,Deceased,,27B728A9-FA9D-D443-84FB-E7A55F6C39CC
,Character,,,,,Ed Dobrotka,cover inks,None,,,,F671CB48-063D-A347-B36A-FCFE9DA235FA
"Black Bison
(John Ravenhair; Black-Cloud-In-Morning)",Character,Flash 406,Fury of Firestorm #1,Jun-82,Y,Gerry Conway,writer,Exclusive,1979,,,4064A67E-3805-9C40-BE40-41D3AADF3B26
,Character,,,,,Pat Broderick,"pencils, cover pencils",Exclusive,,,,F60EF39C-8BDA-9944-8C03-8B68981A0B1E
,Character,,,,,"Rodolfo ""Rodin"" Rodriguez",inks,None,,,,60B8BF19-E157-B44B-9428-C97B6850F68E
,Character,,,,,Dick Giordano,cover inks,N/A,,"Giordano may have been an employee of DC at this time.
Deceased",,80739222-3553-134C-A761-9C8661B33278
,Character,,,,,Gene D'Angelo,color,N/A,,,,06BC7C55-CA48-1143-97D0-A175D738F33B
"Black Canary
(Dinah Laurel Drake)",Character,,"Flash Comics #86
""The Black Canary""",Aug-47,N,Robert Kanigher,writer,N/A,,"Kanigher was an employee of DC between 2/3/47-5/31/82.
Deceased",,F6D84574-8345-B74D-B8B0-6177F30A5B20
,Character,,,,,Carmine Infantino,pencils,Settlement,,Deceased,,ACF66DA7-0DFA-CB4A-89E1-D7BEC9265F8E
,Character,,,,,Joe Giella,inks,None,,,,077859CB-E733-7141-8BB2-51CE896CFF6B
,Character,,,,,Lee Elias,cover pencils,None,,,,5C7B0227-FB7D-2B40-AA7F-DCC879F22785
,Character,,,,,Joe Kubert,cover inks,None,,Deceased,,ECB10C2E-B710-7846-B3A5-FB51B5300280
"Black Canary
(Dinah Laurel Lance)",Character,,Justice League of America #219,Oct-83,N,Roy Thomas,writer,Exclusive,,,,36E92980-C58F-9D4A-88D1-19613A51D3B7
,Character,,,,,Gerry Conway,writer,Exclusive,,,,63D55AEE-1E0E-B247-A04A-4460E0DFED19
,Character,,,,,Chuck Patton,pencils,WFH,,,,8309ECF7-D87F-084F-80BF-0155EC04B5CD
,Character,,,,,Romeo Tanghal,inks,Exclusive,,,,89EB2EF0-7CAB-B941-BEA7-0F99398E9FAD
,Character,,,,,George Perez,cover,WFH,,,,4243C1DF-9919-784C-B0A6-EEAF5A112961
,Character,,,,,Gene D'Angelo,color,N/A,,,,B10B3F6A-976D-334B-9918-5C7978D3DEC5
Black Flash,Character,"Flash 223
(5/24/2016)",Flash #138,Jun-98,N,Grant Morrison,writer,WFH,,,,28B6DE38-7E0A-DD4F-A515-1B4F1156C54C
,Character,,,,,Mark Millar,writer,WFH,,,,AD613A77-0D51-F54C-B009-A3AAEA5BAD1B
,Character,,,,,Ron Wagner,pencils,WFH,,,,AA30285D-A0FC-6348-A2FD-835D31A8F478
,Character,,,,,John Nyberg,inks,WFH,,,,98A01E1E-45ED-AC49-92AE-89CB945AE8D7
,Character,,,,,Steve Lightle,cover,WFH,,,,174575B7-9949-3A4A-9194-4FC9FFAAA936
,Character,,,,,Tom McCraw,color,N/A,,,,51D960F9-DBFC-FD4B-A938-5D80AED20A49
Black Hole,Character,,The Flash vol. 5 #1,Aug-16,N,Joshua Williamson,writer,WFH,,,,EE54AB57-48FC-D14E-A41F-91C84C7A38C8
,Character,,,,,Carmine Di Giandomenico,"pencils, inks",WFH,,,,3623A4E3-49CA-0147-9C00-F54BCBB867C2
"Black Lightning
(Jefferson Pierce)",Character,"DC Nation ""Thunder & Lightning"" Shorts",Black Lightning #1,Apr-77,Y,Anthony Isabella,writer,Exclusive; Creator Recognition,"1979
1991
2016",,,C88E1FA8-1271-3248-8041-4C22D14C501B
,Character,,,,,Trevor Von Eeden,pencils,None,"1981
1991",,,810E1AF5-069A-E14B-ADAB-C2AA1F0BBD46
,Character,,,,,Frank Springer,"inks, cover inks",None,,Deceased,,0DF08153-B95C-6940-940B-2C6137B03B7D
,Character,,,,,Rich Buckler,cover pencils,None,,,,A0770DF3-E314-AA48-85AC-F8085FF11282
,Character,,,,,Liz Berube,color,N/A,,,,6C0036F6-917F-7941-A739-6CF89A5CBC83
Black Manta,Character,,Aquaman #35,Sep-67,Y,Bob Haney,writer,Contributor Recognition,2014,Deceased Contributor Recognition Agreement is with heirs.,,BA297086-0E5F-924F-959B-71C07F7CA9D4
,Character,,,,,"Nicholas Viscardi
(Nick Cardy)","pencils, inks, cover",None,,Deceased,,06C3943D-29A9-2347-81BF-746EB953AB11
"Black Mask
(Roman Sionis)",Character,"Gotham 108
(11/10/2014)",Batman #386,Aug-85,Y,Doug Moench,writer,WFH,2011,,,50C2D26C-46A3-9847-B8D2-827FB8017721
,Character,,,,,Tom Mandrake,"pencils, inks, cover",WFH,2011,,,BB27BB64-69A4-F84D-AF98-98FB177C8B6A
,Character,,,,,Adrienne Roy,color,Exclusive,,Deceased,,EB0A58A2-F93B-064B-BFBB-C19CFD8A6885
"Black Mask
(Jeremiah Arkham)",Character,,Batman: Shadow of the Bat #1,Jun-92,N,Alan Grant,writer,WFH,,,,9E25CD03-DD62-2241-B621-ACCB1E496B96
,Character,,,,,Norm Breyfogle,"pencils, inks",WFH,,Deceased,,C136EB50-226A-C54F-86C6-843A0226A709
,Character,,,,,"Jefferson Mitchell
(Brian Stelfreeze)",cover,WFH,,,,5AB9C942-2BC0-A440-AA8C-F4C61ABEA368
,Character,,,,,Adrienne Roy,color,Exclusive,,Deceased,,1F2D85CD-CC4F-B94E-AE91-170D7CE66941
Black Mercy,Property,Krypton,Superman Annual #11,1985,Y,Alan Moore,writer,None,,,,3399A719-18F3-8040-A659-3AC258299EA8
,Property,,,,,Dave Gibbons,"pencils, inks, cover",None,,,,9E29295F-BE92-C744-93B3-AF7D250EFF4D
,Property,,,,,Tom Ziuko,color,N/A,,,,F3B1D72E-D953-3747-9015-0E1A4EE71534
"Black Orchid
(Susan Linden-Thorne)",Character,,Adventure Comics #428,Jul-73,Y,Sheldon Mayer,writer,None,,Deceased,,BEEB4E15-3593-454A-BF2F-11D315DAE313
,Character,,,,,Tony DeZuniga,"pencils, inks",Exclusive,,Deceased,,332A800F-D2B2-3E4A-BFAC-181E8E1041DA
,Character,,,,,Robert Oksner,cover,None,,Deceased,,BEBDFC41-00A0-9043-A5EF-C48AEC60A7A7
"Black Orchid
(Flora Black)",Character,,Black Orchid #1,Nov-88,Y,Neil Gaiman,writer,Writer,,,,04ED7E6E-59D0-F647-A159-C83586EDA5E2
,Character,,,,,Dave McKean,"pencils, inks, cover",Artist; Color Artist,,,,8334F017-0308-5D4F-8F8D-5949CE16DB5A
"Black Orchid
(Alba Garcia)",Character,Dark Universe,Justice League Dark #9,Jul-12,Y,Jeff Lemire,writer,WFH,,,,AA18DD06-8A5C-FA40-BD8B-39CA699B3410
,Character,,,,,Mikel Janin Ardanaz,"pencils, inks",WFH,,,,666823BB-1ADA-C341-8A12-BE3A84DAA510
,Character,,,,,Ryan Sook,cover,WFH,,,,C9912F3E-864F-7049-8788-74A09AB4E5DF
,Character,,,,,Ulises Arreola,color,N/A,,,,1C97DBDE-9D35-3B4E-922E-485757F89105
"Black Pirate
(Jon Valor)",Character,Legends 107,"Action Comics #23
""Dead Men Tell No Tales""",Apr-40,N,Sheldon Moldoff,"pencils, inks",None,,"An undated, untitled agreement with Moldoff from the 1940s has been located.
Deceased",,E8A2AE0D-AE98-984A-868D-00F452A697A0
,Character,,,,,Joe Shuster,cover pencils,Settlement,,Deceased,,0115C94D-4AB3-AB4B-A5EA-8A07ABCED165
,Character,,,,,Paul Cassidy,cover inks,None,,,,ED0B0E46-ACFC-934A-B385-C3D36B7B199C
